id,actual_price,predicted_price_tabular,predicted_price_multimodal
72,985000,676587.8783,491658.7
73,850000,922092.6392,570842.8
74,474900,431540.5792,440957.12
75,997000,796882.4697,958577.1
76,1302000,1378529.465,1216453.8
77,209900,234237.3345,272389.53
78,602000,609898.7803,497365.12
79,1228000,1375190.823,1564638.2
80,856000,732528.0407,632914.8
81,392000,450733.4636,515295.88
82,500000,691431.8155,792346.5
83,230000,243675.4949,204377.75
84,1145000,942255.9262,764367.1
85,560000,721585.6753,806761.6
86,355000,428024.5299,621834.3
87,785000,729210.9623,613635.25
88,447500,469886.3971,378330.8
89,540000,423237.5885,466427.22
90,252000,247452.8809,201933.97
91,455000,397121.4772,353760.6
92,619850,631451.2656,565296.06
93,1250000,799442.6228,621712.7
94,495000,613877.8689,481761.7
95,540000,493809.8597,427781.22
96,286651,258669.7271,263874.6
97,261000,284921.9868,414968.5
98,830000,772281.6929,827608.9
99,450000,541639.7593,646350.25
100,259999.98,238656.1576,267871.97
101,1450000,1114020.172,897469.44
102,480000,454718.3971,606034.25
103,270000,334618.1468,440811.47
104,1160000,1414662.978,1469122.1
105,250000,283689.4071,414782.34
106,650000,498585.2696,415579.75
107,589950,528186.4054,523286.34
108,743700,653796.5425,631535.44
109,1925000,1848574.946,1619442.9
110,316000,259120.0992,71671.29
111,235867,260271.6281,309801.6
112,716000,519125.3398,468175.66
113,683000,718025.5744,695748.94
114,345000,519125.3398,485797.6
115,270000,315809.8432,421721.16
116,239000,239426.3392,268105.44
117,385195,324377.0984,336013.84
118,273000,336802.133,408027.88
119,476900,453044.236,401930.56
120,551000,578215.6502,588586.56
121,448000,453761.9908,431844.78
122,411100,445513.6946,403213.9
123,223000,206641.5177,339343.56
124,335500,381079.8524,412767
125,730000,832058.2098,942642.3
126,197200,233406.4717,322727.16
127,725000,862030.7613,632163.9
128,342500,372984.5256,239464.06
129,340000,412788.9771,538972.56
130,418000,414784.9724,479779.06
131,410000,490649.935,558597.56
132,240000,323907.6809,344071.1
133,800000,696663.2011,825179.5
134,275000,286076.2567,398914.28
135,617950,573926.0938,681639.6
136,396000,348429.6137,389964.75
137,309000,316437.764,360565.78
138,1275000,1251628.553,1073213.4
139,572500,660155.3977,668435.56
140,518499.97,539512.2034,683779.6
141,710000,747373.1566,701288
142,600000,745191.0426,1019222.6
143,467000,486635.279,604507.5
144,309000,244437.0535,315683.12
145,362500,355791.6921,534006.9
146,390000,397579.8655,428730.97
147,208417,225297.0616,332615.25
148,340000,537004.0984,311481.4
149,467500,554771.7795,643039.1
150,829000,805823.2483,755873.3
151,959750,803066.6731,832606.4
152,542000,547007.3527,566452
153,2250000,1573638.372,1066771
154,575000,776510.216,878056.2
155,690000,619462.4293,619447.4
156,699950,583875.1942,655947.7
157,408500,379968.5072,420471.12
158,595000,642182.8439,808859.1
159,313000,339408.2392,448168.56
160,781000,688357.0793,665985.9
161,371000,430433.194,390823.97
162,268000,262191.5476,283243.06
163,331000,357307.1167,384902.53
164,321000,353929.6184,431488.5
165,375000,357920.8559,429013.78
166,298000,200193.1941,335613.72
167,209500,292291.9744,312492.2
168,440000,518659.6082,622775.5
169,350000,398628.9013,419012.9
170,618000,750548.8073,689228.94
171,320000,368879.1907,434278.44
172,234950,264442.0848,363702.6
173,665000,773959.3985,653052.8
174,500000,393516.9624,474217.53
175,575000,319598.8609,335866.4
176,320000,273982.0535,285820.53
177,464000,633783.9363,963452.56
178,280000,246375.6143,106708.78
179,350000,390244.7556,366228
180,249000,337481.3957,364838.25
181,531000,515456.6035,449981.56
182,472800,546570.9199,482333.38
183,710000,726078.6405,651327.6
184,580000,1053278.196,934477.8
185,330000,403673.9538,495923.7
186,174950,183444.7426,258940.94
187,565000,525493.8397,627189.7
188,534000,721053.472,629397.5
189,503500,636797.5475,589162.75
190,235000,239348.2582,165067.69
191,558000,790625.1157,887377.94
192,966000,896177.1968,1129860.1
193,1297000,844787.691,790426.5
194,310000,303302.4203,334585.38
195,535000,590774.6463,543289.75
196,432000,421240.1434,501211.53
197,1750000,1411412.26,1690460.9
198,675000,848988.1115,781979.9
199,337000,362588.8482,337366.22
200,410000,475408.8911,433671.28
201,320000,321033.5971,357070.03
202,585000,658023.0728,587704.7
203,835000,1122572.077,1202014.6
204,863000,963408.0153,1028806.8
205,320000,327578.8272,390517.53
206,613000,648298.1137,659377.44
207,180000,297345.0119,377380.44
208,560000,670091.0914,604562.5
209,530000,731238.7939,1215952.1
210,347000,300294.4787,383808.9
211,259999.98,318898.2637,310387.62
212,585000,485334.8346,622046.1
213,440000,469868.8895,518327.47
214,305000,297983.5484,110977.695
215,650500,624984.7056,488290.2
216,590000,516914.9014,452380.78
217,245000,271736.2685,141383.11
218,329999,612558.4921,563677.9
219,470000,533391.4666,578817.4
220,2885000,2796219.796,1461314.5
221,580000,580994.0143,497633.22
222,745000,731581.9179,438198.94
223,350000,304072.5099,319598.75
224,515000,511035.6321,424023.5
225,756100,539852.243,523880.3
226,472500,514993.3583,486646.2
227,900000,948212.9164,590114.75
228,895000,820023.0646,840135.2
229,255000,350992.4907,512772.44
230,380000,361960.6526,365243.78
231,265000,254708.8139,274361.06
232,728000,683449.2185,534307.94
233,194000,195409.3639,110497.38
234,300000,325328.6318,401766.78
235,216650,340186.9962,475927.94
236,223990,206758.9767,196286.33
237,220000,293959.7287,362385.7
238,3600000,2120362.99,1656270.5
239,310000,328931.2121,401510.25
240,360000,368566.2225,421473.1
241,635000,517531.1038,445419.3
242,599950,700754.5047,763149.7
243,220000,324816.5499,383249.7
244,372000,340774.8893,471612.75
245,332900,333463.372,318975.56
246,380000,380109.0554,489168
247,471000,541177.2005,454532.8
248,1185000,1089850.052,898951.9
249,684000,633161.1728,837755.2
250,750000,821109.8613,672364.8
251,612125,632451.9934,554454.94
252,455500,358131.7583,384457.66
253,330000,461803.121,478370.66
254,654000,655807.3478,644417.75
255,323000,351282.5643,376327.56
256,315000,402554.7979,466919.3
257,392000,324866.5138,314849.44
258,782000,1041319.056,780485.5
259,298500,281091.6013,242028.48
260,3650000,2553136.096,1883989.4
261,374000,319762.7906,385101.44
262,850000,684953.1974,604311.8
263,785000,779625.4959,773237.8
264,615000,677763.6301,599918.06
265,599832,645534.972,707010.2
266,1075000,752528.0131,819208
267,226000,272502.1224,361884.28
268,421500,404986.6543,519294.38
269,406550,638174.1812,537235.75
270,360000,445487.4161,512584.94
271,519999.97,515252.7854,432262.78
272,329950,344600.0916,434798.12
273,550000,643008.7191,542075.5
274,425000,470134.5157,542651.8
275,1610000,1547006.959,1806906.2
276,185000,216582.5711,213531.42
277,345000,366424.9241,574731.25
278,585000,575986.3309,542307.4
279,325000,517088.8871,495991.47
280,220000,257184.042,308796.28
281,716100,627616.6468,495018.38
282,313999,315779.5012,271290.3
283,450000,480949.6833,446684.84
284,380000,305061.829,453226.8
285,572000,659492.9065,450907.4
286,343888,356642.132,376131
287,474950,421245.0026,495048.16
288,410000,456843.272,638605.9
289,295000,345067.457,283973.75
290,635000,508683.3394,548144.44
291,275000,503438.85,762877.56
292,185000,209758.3513,264128.94
293,239000,221733.9947,309904.88
294,840000,716603.4674,673111.3
295,644000,722426.6732,860001.1
296,515000,469894.7691,418785.44
297,276200,242210.0582,324164.44
298,400000,426162.0808,456574.5
299,769900,787964.7566,868095.2
300,585000,618217.285,504797.7
301,570000,525863.1937,431726.1
302,490000,392363.244,373203.53
303,587100,568387.6484,561744.3
304,329900,326017.5636,394951
305,725000,869609.6063,1014161.7
306,445000,459243.3737,507030.25
307,380000,411743.3501,582322.1
308,255000,255527.7475,262675.8
309,355000,369556.0679,409884.28
310,285000,247310.783,321796.72
311,1050000,751169.7577,395422.03
312,749400,812293.811,815490.6
313,1490000,1338921.948,1046050.8
314,950000,897705.2566,922863.94
315,264500,250520.2394,185798.3
316,1385000,971577.2151,770914.9
317,199950,261581.5465,225458.25
318,969950,853282.089,900246.75
319,405000,387924.7289,426727
320,322500,341707.4792,377355.62
321,425000,612232.711,518399.25
322,275000,303560.7889,334651.2
323,181000,229857.1599,276362.12
324,475000,473373.8913,485811.78
325,376950,372110.1374,422373.6
326,476000,948008.9074,932065.75
327,480000,412963.8983,377806.78
328,229000,302522.9661,415650.3
329,226950,203552.7059,324726.16
330,669888,566165.8887,611179.44
331,555750,320173.8338,378148.12
332,280000,290923.7056,246955.27
333,315000,284010.7904,365870.94
334,499950,492250.5869,430201.4
335,453000,388377.5253,445254.1
336,700000,574318.1146,552140.3
337,347500,287841.2399,354534.44
338,600000,1239646.687,1512161.8
339,286000,252063.8582,293630.2
340,1212500,1378828.152,1360038.2
341,580000,573189.0548,535642.6
342,630000,539948.9641,438775.4
343,730000,653736.6049,714804.06
344,1300000,846800.5208,907909.7
345,850000,884137.4688,893785.9
346,410000,569109.3977,484524.56
347,325000,351039.0239,421376.34
348,596500,511335.9524,443725.53
349,1020000,649357.1282,533790.5
350,180250,197638.0672,316785.62
351,528000,573418.3677,618215.2
352,405500,445580.4267,383612.5
353,1850000,1438962.701,1166971.6
354,230000,242611.9203,244599.3
355,789000,838198.7337,1038930.06
356,527950,605842.2115,525772.06
357,688000,825397.9603,970750.06
358,1057000,418556.8428,494954.4
359,999999,812175.8425,603810.06
360,355000,386789.9506,506280.53
361,1197350,888001.2902,770085.44
362,254599.98,257489.7755,202374.83
363,630000,613214.127,545987.1
364,670000,740944.2413,756498.6
365,319950,276415.6102,395535.6
366,550000,678184.8247,771808.06
367,250000,302984.9899,383288.62
368,1135000,1852655.695,2048080
369,324950,335473.8173,391766.06
370,477000,467992.7188,387036.44
371,531500,468805.5936,501174.44
372,610000,573199.5518,911058.06
373,443000,518935.786,484007.53
374,385000,493751.9019,560770.06
375,320000,330990.9015,432042.6
376,237000,240766.0276,249746.31
377,865000,858836.2851,569110.1
378,239900,248187.7537,206562.62
379,555000,515252.7854,405778.22
380,435000,533170.8045,581349.94
381,582000,556794.4518,474138.38
382,450000,796611.187,658054.4
383,501999.97,396468.7452,494438.28
384,430000,442668.4812,435889.3
385,277000,275318.7472,241017.53
386,467000,358622.4346,399148.4
387,530000,612873.3858,484868.4
388,490000,538458.8779,466644.53
389,499950,513922.7206,458284.75
390,515000,518808.3246,450332.28
391,280000,432981.1626,580167.9
392,618000,692898.3618,614652.2
393,405000,468195.0732,402309.3
394,551000,546401.9375,711179.25
395,241450,330953.4883,376663.5
396,265000,293566.3734,354035.2
397,1650000,746081.0348,900543.25
398,720000,789007.3369,646192.3
399,450500,367667.2589,433154.47
400,325000,307111.7397,335699.03
401,475000,444612.2667,484816.97
402,713000,671746.2021,626252.3
403,320000,279334.8595,217507.61
404,365000,517966.433,429687.62
405,380000,567771.0058,404402.62
406,569950,634439.2408,615469
407,630000,641552.7521,644138.44
408,349950,340210.5058,419445.8
409,344000,384488.5904,366700.22
410,473000,502504.5418,460640.3
411,365000,373748.3815,514750.06
412,510000,614232.7782,594905.25
413,530000,605145.6582,602507.06
414,107000,237628.1195,298709.28
415,331000,355919.3883,501910.94
416,629800,645802.2152,572639
417,579000,498984.4924,383282.06
418,970000,665694.4201,940300.94
419,460500,396525.9499,461654.47
420,370000,412111.5402,557515.06
421,567035,499431.105,491614.1
422,220000,250872.8617,249234.03
423,795000,694481.7012,673013.75
424,400000,411987.5922,377699.97
425,470950,530744.0815,569090.5
426,220000,328075.0426,393952.25
427,691500,800575.7692,774952.2
428,526000,604265.3633,506852.34
429,300000,247723.7473,168729.64
430,605000,517207.4289,600165.06
431,700000,480640.5599,513129.28
432,1000000,678269.7407,499516.84
433,377500,346261.9487,443885.44
434,674000,710383.9846,578712.44
435,599000,728856.2405,1345418
436,680000,660171.5554,692285.7
437,580000,528640.2676,486442.16
438,390000,591427.2835,505605.75
439,262500,243838.2011,288960.75
440,765000,682221.3544,590073.7
441,296000,336646.2815,480738.53
442,515000,504914.144,462456.34
443,267950,247040.556,226887
444,291700,373684.6792,545672.2
445,338000,351222.8687,471800.56
446,359950,383827.878,424867.94
447,3168750,2051271.925,1341836.9
448,360000,472685.5295,712900.94
449,675000,952580.4156,811259
450,530000,501081.0791,443565.6
451,219950,194410.733,148075.84
452,598500,605333.8654,523886.9
453,470000,396576.204,536318.06
454,290000,387065.7635,551929.4
455,861000,874434.437,741916.06
456,369000,306203.7932,410734.94
457,925000,768312.9599,722444.75
458,295000,380745.6489,469032.72
459,385000,293219.9854,352082.25
460,390000,398655.6136,401584.28
461,629000,471810.9901,556920.06
462,1315000,1103581.533,1190997.5
463,462500,572188.4569,543696.25
464,1530000,1448916.327,1145915.1
465,535000,537986.1259,519849.06
466,448000,516070.1215,561366.06
467,525000,606665.2421,483350.8
468,1061600,749564.1063,761719.9
469,333000,433994.3433,300875.84
470,639900,645456.3828,627705.56
471,410000,439332.479,434322.25
472,397500,391123.2445,406299
473,955000,809116.199,823196.06
474,455000,515072.1487,440655.53
475,409500,437534.7794,436656.72
476,265000,312110.1765,375620.47
477,438600,401206.8411,378592.2
478,310000,390412.5314,453476.06
479,300000,330037.722,365364.38
480,175000,202387.2448,154473.77
481,205500,237231.9083,108026.836
482,375000,345815.195,395086.8
483,355000,348264.3755,625429.8
484,250000,400911.1116,369287.2
485,455000,430859.5641,494874.06
486,819000,516914.9014,451199.6
487,199500,256037.116,256447.31
488,862000,795086.787,691489.7
489,400000,306613.499,382896.6
490,700000,811838.5398,916368
491,672000,712190.2737,413377.28
492,575000,619749.9418,531400.7
493,615000,639678.3342,732533.9
494,2150000,1037882.59,1086092
495,397000,298664.4352,198714.52
496,869000,920728.8681,1039657.56
497,355000,332286.5657,390042.38
498,575000,604118.5371,519583.47
499,346000,385970.6931,492106.9
500,530000,387283.2909,442900
501,449500,433106.1074,567986.75
502,435000,456568.4604,376310.06
503,635000,757786.5618,885953.4
504,332500,319410.5859,350799.2
505,550000,794646.5174,740311.1
506,720000,641665.6022,639874.56
507,1085000,910177.8,1042360.8
508,418000,392685.8635,351751.8
509,495000,447436.0014,401012.84
510,1140000,812253.5067,813187.75
511,734990,670861.5787,615497.1
512,980000,760864.743,652691.2
513,737000,649769.1886,634863.4
514,364950,316524.2785,337558.28
515,890000,927620.7286,803748.7
516,466000,380583.6009,509362.6
517,225000,249255.4262,90320.63
518,420000,391435.9687,364275.1
519,215000,311270.8514,404132.3
520,270000,314995.2425,324152.72
521,778000,747803.9933,499684.16
522,650000,595078.672,419204.06
523,325000,287390.515,344759.94
524,550000,563215.7481,485190.4
525,291000,263338.8779,239427.08
526,437000,526126.7501,503818.22
527,255499.98,297251.5032,314022.84
528,875000,917854.7301,1067775
529,450000,500908.6925,429169.9
530,725000,782302.0753,422991.4
531,386500,455262.3306,422122.72
532,985000,949854.6937,1116617.9
533,419700,465188.1539,440725.3
534,165000,212286.5396,114182.25
535,408000,276499.4641,372384.3
536,340000,303794.9418,369281.06
537,962800,1032934.293,952060.25
538,557000,619957.0407,548845.9
539,775000,889006.9349,994258.6
540,519999.97,440007.3688,604016.75
541,385000,330766.8948,377181.28
542,1200000,734162.4086,617516.75
543,190000,204240.995,351242.53
544,1950000,655365.8864,1006904.8
545,555000,456521.7377,483746.34
546,250000,299180.0852,438596.38
547,1824100,1506920.88,949902.56
548,530000,656569.8217,601645.6
549,250000,304259.7687,257573.9
550,518000,740073.9005,685104
551,450000,403986.9337,404510.7
552,562500,647759.4722,577605.3
553,2160000,1324501.5,1010329.1
554,282000,292950.3584,301770.7
555,302282,487988.1437,417714.4
556,267000,255346.9654,286085
557,275000,334115.1793,151807.56
558,248000,234629.4263,256805.84
559,750000,750937.1464,719857.2
560,445000,464368.8637,338203.06
561,550000,221786.2641,284023.66
562,545000,557522.9512,463673.34
563,549000,530764.6095,501017.8
564,185900,188732.4692,100482.445
565,730000,944196.8002,598795.25
566,225000,249308.9392,212429.33
567,657500,652281.2042,610097.5
568,265000,207327.3092,239974.64
569,630000,809365.669,705391.3
570,490000,582611.2545,499699.06
571,384900,438556.1899,568203.44
572,799990,731423.8924,716036.9
573,252500,261255.213,247593.5
574,380000,397696.0106,370191.22
575,245000,280336.3076,371306.38
576,378000,388585.0794,311107.8
577,389000,438156.9045,394130.12
578,343000,366769.809,518485.5
579,742000,612892.3649,497390.1
580,400000,433091.8821,551149.7
581,625000,462916.9446,477250.22
582,630000,574572.5215,683376.94
583,299500,328231.056,295087.53
584,229800,325868.4487,347064.72
585,395000,364251.1225,376503.06
586,225000,245307.4828,352026.94
587,310000,437419.8483,498646.84
588,330000,301521.8673,421771.06
589,280000,377629.8283,440070.03
590,415000,418366.6703,465631.78
591,752888,716830.0677,671270.75
592,300000,336320.2462,521050.1
593,200000,239765.7417,244602.94
594,406500,399032.6982,434190.28
595,468000,473668.6887,571709.6
596,1050000,963044.6112,1080133.2
597,960000,510240.6753,481871.97
598,865000,932641.0589,820594.94
599,395000,336652.0966,382583.25
600,470000,459622.2593,573723.06
601,517000.03,357787.3351,377722.75
602,1000000,1007773.216,675439.7
603,110000,174660.5076,141430.12
604,405000,328020.7894,418385.94
605,249950,298274.8021,366731.6
606,410000,438965.0893,393389.6
607,385000,297065.1893,378639.53
608,349000,318392.1067,366360.6
609,540000,514383.7654,396483.3
610,657000,896304.498,664474.6
611,250000,229339.1097,227466.3
612,350000,450098.3602,431925.6
613,352450,340885.5645,456258.84
614,375000,447791.4926,390396.72
615,275000,238939.2156,297328.12
616,322500,275156.0648,329848.22
617,385100,335425.5851,382448.5
618,395000,509753.7772,380725.9
619,750000,681136.343,838073.44
620,1085000,700911.1956,631865
621,597000,577424.6792,583288.8
622,2510000,1769930.384,1723210.4
623,703300,642626.7671,624193.94
624,1185000,804291.7287,747473.25
625,698000,744202.0567,595860.56
626,340000,342223.8677,447387.75
627,750000,774098.9478,666014.9
628,1505000,1035932.131,1145022.8
629,615000,626824.3794,524333.2
630,320000,312019.6996,335649.56
631,290000,254289.1112,246704.17
632,374950,334032.3089,470985.34
633,1100000,1037891.213,731109.94
634,550000,342726.8846,357215.75
635,390000,623708.0349,829430
636,467000,531437.9748,901757.5
637,552250,536474.2987,481831.44
638,235000,292334.5759,265529.22
639,750000,659460.1953,600251.8
640,627000,553865.9214,448104.16
641,883000,847393.9638,869764.2
642,785000,778147.8728,576507.3
643,457000,558246.3573,627144.8
644,367500,458474.7297,342025.94
645,625000,741997.3447,586021.2
646,402500,312345.967,358845.34
647,755000,820727.4644,800725.7
648,380000,343804.7081,413818.53
649,238000,229871.3754,182285.2
650,848000,769292.1918,677074.7
651,358000,453500.5868,439848.9
652,440000,560796.9879,816355.75
653,250000,311288.9118,368343.88
654,2650000,2231942.755,1539485.9
655,495000,408858.482,322801.66
656,660000,568060.8579,525243.3
657,755000,702843.4234,534567
658,600000,569785.893,560961.3
659,461500,553379.7449,741356
660,275000,248762.0567,198977.42
661,195000,255663.6768,242397.27
662,315000,289661.6868,312403.62
663,1280000,1386193.299,1060972
664,353000,347166.322,318277.12
665,390000,439073.3184,542358.3
666,657500,628053.5183,800728
667,495000,291999.1917,416685.75
668,450000,463544.9739,374830.5
669,427000,392999.1249,425333.38
670,1039999.94,1456027.887,1264566.4
671,700000,497302.7256,420357.75
672,894000,898323.1678,929500.5
673,770000,817937.7432,773525.25
674,412500,493288.229,417404.12
675,899000,706908.0322,575267.7
676,555000,771759.212,696502.44
677,400000,679849.2922,772515.56
678,330000,357568.033,448980.8
679,700000,628308.0257,668619.75
680,500000,549291.6734,680560.06
681,385000,450739.9742,414542.38
682,840000,608696.7993,516483.66
683,230500,186730.8089,294841.8
684,563250,515868.9878,418180.94
685,523949.97,517667.0419,479035.84
686,227064,364591.7268,407284.75
687,616500,627873.2491,622063.25
688,670000,528972.8411,443338.62
689,210000,352276.8881,429223.84
690,335000,257461.8908,395430.16
691,151100,199953.1163,303041.62
692,374950,429439.5319,434941.34
693,840000,664030.1945,736796.4
694,640000,671301.353,881859.75
695,335000,317171.0112,267129.78
696,210000,307176.8164,323851.16
697,452250,515498.4302,697633.8
698,162000,259969.5192,168726.22
699,968000,962427.5253,613314
700,252500,333196.6078,376474.62
701,265800,367312.9915,352923.1
702,300000,259697.1056,247673.27
703,398950,435532.5148,542241.3
704,865000,714812.0094,635418.9
705,378000,429439.5319,434872.16
706,1150000,1031943.525,1087628
707,1272000,856826.6112,914977.56
708,890000,1004709.78,982884.75
709,275000,232451.2143,221548.25
710,542500,539283.8388,528323.75
711,411000,512464.3448,452264.5
712,337500,242618.1973,346467.56
713,365000,401215.1597,381800.6
714,416000,535149.764,457050.38
715,230000,243975.2022,133402.27
716,290500,409649.1435,607278.3
717,367899,387145.0464,459877.38
718,700000,233948.1721,59913.04
719,534000,574727.3644,458972.03
720,317000,314704.3439,338070.88
721,845000,637909.9067,495774.22
722,579000,544508.2851,748671.8
723,525126,531272.1063,442904.4
724,1001000.06,976314.3479,871238.25
725,250000,363258.2202,371589.9
726,565000,928158.2247,982679.9
727,700000,597048.7261,504228.72
728,316000,300894.3536,359390.75
729,557500,574067.6878,607432.8
730,207500,252230.8656,240399.55
731,465000,425418.7745,404298.2
732,853800,821673.4505,857309.5
733,1385000,1201613.842,1364111.4
734,469000,488530.5808,416948.97
735,220000,228390.262,252081.22
736,332000,278347.6121,358540.84
737,720000,674244.8129,1052082.2
738,795000,842308.8592,773182.75
739,240000,323382.409,455513.72
740,280000,333842.3202,409112.5
741,330000,364330.582,350295.6
742,375000,407846.3223,431322.75
743,1690000,1394956.428,927179.5
744,152500,197875.6547,166617.22
745,256000.02,222953.0851,328972.56
746,182500,191089.1133,152426.25
747,485500,512394.8254,414213.34
748,362000,389940.8989,486357.44
749,675000,960133.1887,1007273.2
750,1388000,1201928.54,626781.25
751,462000,418761.695,320982.7
752,219000,311506.3328,321445.28
753,725000,856555.1636,768135.06
754,315000,314936.4412,344213.53
755,695000,758450.1443,733037.4
756,560000,556000.7711,616637.94
757,560000,424188.4735,386715.22
758,649000,568104.1057,757308
759,620000,549135.802,422873.9
760,246500,204135.0107,317162.8
761,548000,469796.3528,560870.2
762,496600,558694.2209,477621.84
763,315000,434769.0013,530839.75
764,330000,413340.9981,311736.75
765,1000000,968419.1053,930174.6
766,650000,600758.0254,513335.8
767,589000,717606.4187,543163.4
768,1030000,959820.5262,695306.75
769,802000,489317.5321,522973.3
770,173000,280336.557,454169.94
771,129999.99,471622.426,406980.22
772,380000,449917.2713,516660.75
773,293000,452371.634,461839.78
774,706000,505001.8214,770177.25
775,262000,267222.1782,402566.84
776,281000,333946.4329,269561.66
777,710000,751225.3234,747123.94
778,170000,234522.8677,196679.22
779,687500,515252.7854,412522.3
780,501999.97,476930.1033,576604.56
781,734000,490028.8241,679360.1
782,481450,510491.0174,495916.6
783,250000,291338.1264,320634.84
784,300000,319022.3165,347788.62
785,248000,206385.2866,203158.9
786,186000,235908.6152,150489.53
787,440000,472760.9658,531926.75
788,172000,241128.6396,337296.97
789,405000,392479.8849,399884.94
790,599000,483994.9649,498425.78
791,457500,410939.5728,383296.9
792,275000,300279.2266,300072.56
793,500000,405591.9299,403332
794,472500,494573.9016,400902.8
795,494815,528059.8169,499574
796,342000,319741.8622,372982.22
797,1208000,1495920.452,1097767
798,492000,673896.7024,1007756.94
799,420000,457349.2843,410264.56
800,554000,505070.8558,403864.3
801,805000,899949.7084,911918.5
802,485000,388967.0577,347824.7
803,310000,271941.5642,302399.1
804,456500,422298.0359,509209.56
805,330000,292113.5853,367671.25
806,211000,376442.5905,332231.94
807,965000,956758.4393,747704.25
808,374950,323188.8402,306582.94
809,456000,526488.0751,597233.1
810,599000,696185.6738,584531.8
811,500000,351535.4434,304695.3
812,740000,558448.4404,621832.1
813,430000,955894.1092,1245758.2
814,799950,769345.5641,929560.94
815,1225000,992690.1439,893235.2
816,249000,350837.5749,369984.8
817,930000,1273734.031,903806.5
818,339950,399094.9498,619396
819,612000,632501.512,926198.94
820,428000,361404.616,496417
821,315000,299324.7389,310551.8
822,550000,589046.9897,501411.56
823,453246,550564.0589,517075.66
824,325000,283884.1673,332438.28
825,810000,754595.9535,788973.06
826,745000,659404.0614,602876.75
827,329000,267959.9301,362662.56
828,257999.98,303376.0613,337922.22
829,418500,356363.1558,379783.62
830,320000,449558.9225,568206.94
831,550000,581063.2589,556630.75
832,600000,542492.2783,610919.4
833,259999.98,338652.3801,379639.62
834,511717.97,625144.6511,557537.25
835,335000,437941.0478,401234.28
836,207000,239207.5438,181438.67
837,525000,471356.2093,555478.56
838,194000,234292.356,351858.25
839,340000,371997.4133,466641.6
840,604000,605684.5179,508542
841,375000,428383.4839,243162.14
842,240000,238719.7732,343895.2
843,474000,513922.6426,437840.4
844,719000,636797.5475,574557.9
845,525000,514005.7036,478548.16
846,800000,768273.9436,732260.8
847,499950,513768.5215,475340.25
848,265000,384025.8312,432709.8
849,407000,507603.7228,509783.44
850,379000,365893.3304,358210.44
851,799000,888305.2293,618678.8
852,825000,893951.5247,1041342.25
853,384000,408562.1146,564334.7
854,519999.97,429090.1134,561331.75
855,286000,293965.6588,414626.2
856,700000,744357.7662,647427.8
857,639983,472137.82,616096
858,360000,330411.2334,269335.34
859,1485000,1239951.956,1154403
860,459000,409556.222,604836.3
861,280000,260378.6887,340995.12
862,859900,831261.0138,854752.44
863,1320000,547916.7833,499134.66
864,482000,495306.9737,532007.25
865,525000,499372.7765,455221.9
866,365000,408221.9166,544137.3
867,215000,207498.3004,64203.844
868,680000,793566.0853,751239.8
869,628000,498572.3392,805549.75
870,200000,307222.3316,470976.94
